Date,Open,High,Low,Close,Volume
2019-01-02,34.73,35.65,34.23,35.0,8686105
2019-01-03,34.89,35.25,34.57,34.92,14459607
2019-01-04,35.58,36.77,35.47,35.66,10721319
2019-01-07,37.19,37.97,37.12,37.37,21284516
2019-01-08,37.14,37.62,36.76,37.17,14883232
2019-01-09,37.06,37.58,36.52,36.97,20687430
2019-01-10,38.8,38.97,38.46,38.81,25237845
2019-01-11,39.84,40.06,39.59,39.78,20703416
2019-01-14,39.64,40.25,38.84,39.28,16794453
2019-01-15,39.93,40.39,39.34,40.0,8894057
2019-01-16,39.56,39.77,38.73,39.51,14630324
2019-01-17,38.92,39.77,38.61,39.02,11222764
2019-01-18,39.21,40.34,38.92,39.38,12335206
2019-01-21,37.06,37.94,36.89,37.17,12148702
2019-01-22,35.21,36.11,34.78,35.3,8975751
2019-01-23,34.82,35.07,34.47,34.76,5505899
2019-01-24,34.15,33.88,33.1,33.76,10489952
2019-01-25,34.02,35.06,34.11,34.14,16138039
2019-01-28,33.19,33.67,32.86,33.26,7466310
2019-01-29,31.89,32.32,31.35,31.9,14766049
2019-01-30,33.44,34.23,32.82,33.37,37887591
2019-01-31,33.25,33.85,31.99,33.2,24435029
2019-02-01,33.54,33.95,32.74,33.33,33323411
2019-02-04,31.57,32.99,31.73,31.95,17815224
2019-02-05,31.11,31.8,31.04,31.48,26265186
2019-02-06,31.57,32.36,31.62,31.65,10201217
2019-02-07,30.77,31.07,30.16,30.6,10615543
2019-02-08,30.76,31.54,30.75,31.0,3724450
2019-02-11,30.04,31.33,29.82,30.5,26511064
2019-02-12,30.37,30.86,29.96,30.28,31647255
2019-02-13,29.82,30.36,29.37,29.79,11110613
2019-02-14,31.33,32.25,31.19,31.51,12903693
2019-02-15,31.39,31.93,30.64,31.55,10049856
2019-02-18,30.45,30.85,30.22,30.6,17739897
2019-02-19,31.43,31.62,30.48,31.41,25711946
2019-02-20,30.21,30.33,29.66,30.31,6129440
2019-02-21,30.63,31.52,29.98,30.55,17979077
2019-02-22,28.39,28.98,28.28,28.8,12757936
2019-02-25,27.58,28.06,27.19,27.69,15505373
2019-02-26,27.75,28.26,27.9,27.91,18430122
2019-02-27,28.54,29.08,28.22,28.58,13334947
2019-02-28,28.7,29.4,28.15,28.78,13911224
2019-03-01,28.85,29.36,28.31,28.73,13164869
2019-03-04,28.26,28.82,28.41,28.52,23799094
2019-03-05,27.3,27.67,26.9,27.3,18063068
2019-03-06,26.83,27.21,25.99,26.75,16359049
2019-03-07,26.67,26.77,25.77,26.43,7760242
